"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-09","17.90"," 1432"," 1438","0.00",,"0.0","0.0",,"54","42",,"  360","  360",,"40.9","49.0",,,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-10","8.50"," 0058"," 0026","0.00",,"0.0","0.0",,"60","37",,"   10","   10",,"19.9","23.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-11","6.26"," 1910"," 1259","0.00",,"0.0","0.0",,"67","40",,"  300","  160",,"16.1","21.0","    1",,"    1",,,,,"    1",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-12","7.38"," 1733"," 1732","0.00",,"0.0","0.0",,"64","43",,"   10","   10",,"21.9","25.9",,,"    1",,,,,"    1",,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-13","14.09"," 0958"," 0957","0.00",,"0.0","0.0",,"64","36",,"  280","  280",,"29.1","32.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-14","9.40"," 1737"," 1426","0.00",,"0.0","0.0",,"63","33",,"   20","   60",,"16.1","19.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-15","8.05"," 1856"," 1728","0.00",,"0.0","0.0",,"83","44",,"   70","   20",,"19.9","23.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-16","9.62"," 1518"," 1247","0.22",,"0.0","0.0",,"68","48",,"  200","   70",,"21.9","25.1","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-17","13.65"," 0412"," 0608","1.53",,"0.0","0.0",,"49","40",,"   70","   60",,"25.1","28.0","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-18","8.28"," 1942"," 1520","0.20",,"0.0","0.0",,"65","38",,"  350","  250",,"17.9","23.0","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
